text,filename
,
Can I go outside. ,sound1
Can I go out back.,sound2
Can I go up front. ,sound3
Can I play on the rock wall.,sound4
Can we get the mail.,sound5
Can we go for a ride. ,sound6
Can we play ball. ,sound7
Can I lay on the grass. ,sound8
Can we go for a walk. ,sound9
I want to go in. ,sound10
I’m tired. ,sound11
I’m done playing.,sound12
Can we play for longer.,sound13
Its beautiful outside.,sound14
I don’t like the heat.,sound15
Can we go on the swing.,sound16
I want a toy.,sound17
I want teddy bear. ,sound18
I want to watch TV.,sound19
I want to play kindle.,sound20
I want to play a game.,sound21
I want to read a book.,sound22
I want you to read to me.,sound23
Can I watch YouTube.,sound24
Can I watch Roku Kids.,sound25
I don’t want to watch this. ,sound26
I don’t like this show. ,sound27
I like this show. ,sound28
Where is the remote?,sound29
Play with me.,sound30
I need to do my chore. ,sound31
Can you sit with me.,sound32
I need water.,sound33
I need food. ,sound34
I need a diaper. ,sound35
I need clothes. ,sound36
I need to breathe.,sound37
I need to do my exercises.,sound38
I need to rest.,sound39
I need to go to sleep.,sound40
I need my boots.,sound41
I need my shoes. ,sound42
I need help. ,sound43
I want a hair cut.,sound44
I need to brush my hair.,sound45
I need a shower.,sound46
I need a bath.,sound47
I need to brush my teeth.,sound48
Hi,sound49
Hello,sound50
How are you?,sound51
It’s nice to meet you.,sound52
My name is Ryland.,sound53
Whats your name?,sound54
Where are you from?,sound55
Do you want to play?,sound56
On the swings.,sound57
On the slide.,sound58
On the money bars.,sound59
On the trapeze.,sound60
On the rope web.,sound61
I had fun.,sound62
I hope to see you again.,sound63
Goodbye,sound64
Hi,sound65
Its nice to meet you.,sound66
Hello.,sound67
Whats your name. ,sound68
How old are you?,sound69
Where are you from?,sound70
My name is Ryland.,sound71
My name is RyRy.,sound72
Do you like video games?,sound73
Do you have a console ?,sound74
Do you have a video game. ,sound75
I like you,sound76
I had fun.,sound77
Nice to meet you. ,sound78
Bye Bye.,sound79
Goodbye.,sound80
I need my charger. ,sound81
Can I get my kindle.,sound82
Can I get my DS.,sound83
Can I get my DVD,sound84
Can you turn it down. ,sound85
Can you turn it up. ,sound86
I need my helmet. ,sound87
I’m frustrated. ,sound88
I need to breathe. ,sound89
Can you be quiet,sound90
It’s too loud !,sound91
Can you hold my hand. ,sound92
I’m hungry.,sound93
I’m thirsty.,sound94
I’m bored.,sound95
Can I talk.,sound96
I want that. ,sound97
Can I get a toy?,sound98
Can I get a candy.,sound99
Can I get a drink. ,sound100
Can we get soda?,sound101
Can you get snacks?,sound102
I want to go.,sound103
I like that.,sound104
I don’t like that.,sound105
I’m bored.,sound106
I love you.,sound107
I’m happy.,sound108
I’m sad.,sound109
I’m frustrated.,sound110
I need a hug.,sound111
Can you hold my hand.,sound112
I love you.,sound113
Can I have a hug.,sound114
Can I have a kiss.,sound115
Can you sit with me.,sound116
I’m happy.,sound117
I’m sad.,sound118
I’m mad.,sound119
I’m scared. ,sound120
I’m sick. ,sound121
I’m tired.,sound122
I’m annoyed.,sound123
I’m bored.,sound124
I’m worried.,sound125
I’m surprised. ,sound126
I’m confused.,sound127
I’m calm.,sound128
I need help.,sound129
Yes,sound130
No,sound131
Stop!,sound132
I am hungry.,sound133
I am thirsty.,sound134
I want to earn points.,sound135
I need water.,sound136
Can I have a snack.,sound137
I can think a happy thought.,sound138
I am too hot.,sound139
I am too cold.,sound140
I need a diaper. ,sound141
I have a poop.,sound142
I am tired.,sound143
I need a new shirt.,sound144
I feel calm,sound145
I feel happy.,sound146
I feel sad.,sound147
I feel frustrated. ,sound148
I feel peaceful. ,sound149
I feel silly.,sound150
I feel lonely.,sound151
I feel pain.,sound152
I feel thankful.,sound153
I feel excited.,sound154
I feel tired.,sound155
I feel out of control,sound156
I feel bored.,sound157
I feel brave.,sound158
I feel scared.,sound159
I feel angry.,sound160
Can we play a game?,sound161
Can I draw?,sound162
Can I go outside?,sound163
Can I watch educational Tv?,sound164
Can I read a book?,sound165
Can I play with legos?,sound166
Can I use markers?,sound167
Can I earn points?,sound168
Can I play with sensory sand?,sound169
Can I make a book?,sound170
Can I play a video game?,sound171
Can I play with plushies?,sound172
Can I play my records?,sound173
Can I do an experiment?,sound174
Can we pass a ball?,sound175
Can I play with fidgets? You,sound176
